Alameda             ,Contra Costa        ,Marin               ,San Francisco,San Mateo           ,Santa Clara         ,Solano              
1505209,1045514,251848,801858,715826,1774413,413283
1506896,1046685,252035,802984,716701,1776823,413303
1508584,1047855,252222,804109,717576,1779232,413324
1510271,1049025,252409,805235,718451,1781642,413344
1511958,1050195,252596,806361,719326,1784052,413364
1513646,1051365,252783,807486,720201,1786461,413385
1515333,1052536,252970,808612,721076,1788871,413405
1517020,1053706,253157,809737,721951,1791281,413425
1518708,1054876,253343,810863,722826,1793690,413446
1520395,1056046,253530,811988,723701,1796100,413466
1522082,1057217,253717,813114,724576,1798510,413486
1523770,1058387,253904,814239,725451,1800919,413507
1525457,1059557,254091,815365,726326,1803329,413527
1526949,1060464,254249,816207,727066,1805455,413744
1528442,1061371,254408,817048,727806,1807581,413961
1529934,1062278,254566,817890,728546,1809708,414179
1531426,1063185,254725,818732,729286,1811834,414396
1532919,1064092,254883,819573,730026,1813960,414613
1534411,1064999,255042,820415,730766,1816086,414830
1535903,1065905,255200,821257,731506,1818212,415047
1537396,1066812,255358,822098,732246,1820338,415264
1538888,1067719,255517,822940,732986,1822465,415482
1540380,1068626,255675,823782,733726,1824591,415699
1541873,1069533,255834,824623,734466,1826717,415916
1543365,1070440,255992,825465,735206,1828843,416133
1545348.5,1071565,256120,826649,736089,1831207,416395
1547332,1072690,256247,827833,736972,1833571,416656
1549315.5,1073814,256375,829017,737854,1835935,416918
1551299,1074939,256502,830201,738737,1838299,417179
1553282.5,1076064,256630,831385,739620,1840663,417441
1555266,1077189,256757,832570,740503,1843027,417703
1557249.5,1078313,256885,833754,741385,1845391,417964
1559233,1079438,257012,834938,742268,1847755,418226
1561216.5,1080563,257140,836122,743151,1850119,418487
1563200,1081688,257267,837306,744034,1852483,418749
1565183.5,1082812,257395,838490,744916,1854847,419010
1567167,1083937,257522,839674,745799,1857211,419272
1568951,1085110,257780,840405,746374,1859127,419614
1570735,1086284,258039,841136,746949,1861042,419955
1572519,1087457,258297,841868,747524,1862958,420297
1574303,1088631,258555,842599,748099,1864873,420638
1576087,1089804,258814,843330,748674,1866789,420980
1577872,1090978,259072,844061,749250,1868704,421322
1579656,1092151,259330,844792,749825,1870620,421663
1581440,1093324,259589,845523,750400,1872535,422005
1583224,1094498,259847,846255,750975,1874451,422346
1585008,1095671,260105,846986,751550,1876366,422688
1586792,1096845,260364,847717,752125,1878282,423029
1588576,1098018,260622,848448,752700,1880197,423371
1590509,1099211,260771,849263,753337,1882277,423686
1592442,1100403,260920,850077,753974,1884357,424001
1594375,1101596,261069,850892,754611,1886437,424315
1596307,1102788,261218,851707,755248,1888517,424630
1598240,1103981,261367,852521,755885,1890597,424945
1600173,1105173,261516,853336,756522,1892677,425260
1602106,1106366,261664,854151,757158,1894756,425574
1604039,1107558,261813,854965,757795,1896836,425889
1605972,1108751,261962,855780,758432,1898916,426204
1607904,1109943,262111,856595,759069,1900996,426519
1609837,1111136,262260,857409,759706,1903076,426833
1611770,1112328,262409,858224,760343,1905156,427148
1613267,1113574,262476,858848,760864,1906775,427461
1614765,1114820,262543,859472,761384,1908394,427775
1616262,1116066,262609,860095,761905,1910013,428088
1617759,1117312,262676,860719,762425,1911631,428401
1619257,1118558,262743,861343,762946,1913250,428714
1620754,1119804,262810,861967,763466,1914869,429028
1622251,1121049,262876,862590,763987,1916488,429341
1623749,1122295,262943,863214,764507,1918107,429654
1625246,1123541,263010,863838,765028,1919726,429967
1626743,1124787,263077,864462,765548,1921344,430281
1628241,1126033,263143,865085,766069,1922963,430594
1629738,1127279,263210,865709,766589,1924582,430907
1631127,1128282,263214,866401,766895,1925656,431385
1632516,1129285,263219,867092,767200,1926731,431863
1633905,1130288,263223,867784,767506,1927805,432340
1635294,1131290,263227,868475,767811,1928879,432818
1636683,1132293,263232,869167,768117,1929953,433296
1638072,1133296,263236,869859,768423,1931028,433774
1639460,1134299,263240,870550,768728,1932102,434251
1640849,1135302,263245,871242,769034,1933176,434729
1642238,1136305,263249,871933,769339,1934250,435207
1643627,1137307,263253,872625,769645,1935325,435685
1645016,1138310,263258,873316,769950,1936399,436162
1646405,1139313,263262,874008,770256,1937473,436640
1647555,1140151,263314,874838,770581,1939067,436903
1648705,1140988,263366,875667,770906,1940661,437166
1649854,1141826,263418,876497,771231,1942254,437428
1651004,1142663,263470,877326,771556,1943848,437691
1652154,1143501,263522,878156,771881,1945442,437954
1653304,1144338,263574,878986,772206,1947036,438217
1654453,1145176,263626,879815,772530,1948629,438479
1655603,1146013,263678,880645,772855,1950223,438742
1656753,1146851,263730,881474,773180,1951817,439005
1657903,1147688,263782,882304,773505,1953411,439268
1659052,1148526,263834,883133,773830,1955004,439530
1660202,1149363,263886,883963,774155,1956598,439793
1661352,1150201,263938,884793,774480,1958192,440056
1662502,1151038,263990,885622,774805,1959786,440319
1663651,1151876,264042,886452,775130,1961379,440581
1664801,1152713,264094,887281,775455,1962973,440844
1665951,1153551,264146,888111,775780,1964567,441107
